작업시간,작업키워드,상품번호,페이지,순위,아이피주소
2020-09-25 17:04:06,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 17:04:42,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 17:06:25,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 17:07:02,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:07:38,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:08:15,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:10:25,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:12:10,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:13:41,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:15:15,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:17:07,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:17:49,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:19:29,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 17:21:15,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:22:30,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:23:12,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:23:53,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:24:36,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:27:04,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:27:40,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:29:36,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 17:31:10,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:32:42,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:34:30,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:36:03,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:36:39,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:37:15,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 17:37:57,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:38:36,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:41:06,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:42:25,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:43:50,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:44:29,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 17:45:05,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 17:47:07,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:47:44,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:50:05,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:50:44,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 17:52:36,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 17:53:14,교정 베개,2128125023,4,6,192.168.0.23
2020-09-25 17:53:56,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:54:37,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:55:19,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:55:55,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 17:57:47,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 17:58:23,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 17:59:02,교정 베개,2128125023,4,6,192.168.0.23
2020-09-25 18:00:54,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:02:53,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:03:28,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:04:07,교정 베개,2128125023,4,6,192.168.0.23
2020-09-25 18:04:43,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:07:10,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:07:47,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:09:46,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:10:21,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:12:11,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:14:00,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:14:36,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:16:49,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:17:25,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:18:04,교정 베개,2128125023,4,6,192.168.0.23
2020-09-25 18:19:34,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:20:16,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:20:52,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:21:27,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:22:03,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:22:45,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:23:22,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:23:57,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:24:33,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:25:15,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:25:50,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:26:32,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:27:13,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:27:49,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:28:25,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:30:30,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:31:08,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:32:18,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:32:56,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:33:35,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:35:35,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:36:11,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:36:49,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:37:28,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:38:05,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:38:41,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:40:23,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:41:00,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:41:41,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:42:17,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:44:19,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 18:46:29,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 18:47:05,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:48:30,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:49:06,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:51:14,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:53:00,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:53:36,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:54:13,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 18:57:14,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 18:57:49,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 18:59:40,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:00:16,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:00:53,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:01:34,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 19:02:12,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:02:48,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:04:08,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:06:15,경추베개,2128125023,5,4,192.168.0.23
2020-09-25 19:07:58,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:09:42,목디스크베개,2128125023,1,5,192.168.0.23
2020-09-25 19:10:48,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:11:27,교정 베개,2128125023,4,5,192.168.0.23
2020-09-25 19:13:10,일자목베개,2128125023,1,2,192.168.0.23
2020-09-25 19:14:52,베개추천,2128125023,2,2,192.168.0.23
2020-09-25 19:16:54,일자목베개,2128125023,1,2,192.168.0.23
